NAME	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet
DOK3	5.52199040719097	15.0707343190999	6.39044362391132	99.7929673409327	3.04736355476917	55.6145170160234	3.30205667606902	9.28515230102682	4.2021091164536
DOK7	1.05979217346883	12.2341630464972	1	1	6.54601447610495	1.06217133082778	1	1.46077454522074	4.2021091164536
DOLK	1.05979217346883	1.47008251592307	3.91813054050534	2.63793632302134	15.3361985777009	1.06217133082778	2.96837888496371	1.46077454522074	4.2021091164536
DOPEY2	8.92128332614222	61.651422239816	9.26837948572884	11.4039773565551	12.4162166976958	8.43142771999915	2.11903007589784	8.2299458873411	4.2021091164536
DPP4	21.698109685359	1.97099173485116	35.9217904428352	2.91322104870849	3.07516097860233	3.60024138157011	16.4129156127658	6.02659440680026	4.2021091164536
DPY19L1	2.78344488473378	1.0411581521333	2.89140861979153	6.3550619259507	13.4059888774462	5.33252467455171	2.81557889704702	5.34694898892133	117.41251291665
DPY19L4	3.23038845760451	2.01096074234388	15.9420459747607	6.86783438601468	1.15492425868848	10.722751886714	2.1216334267146	1.46077454522074	4.2021091164536
DPYSL2	1.9631354903072	1.0411581521333	7.55093903902174	35.0415171842746	1.15492425868848	11.2111997867869	2.58752383895477	36.9214836957316	4.2021091164536
DST	1.05979217346883	1.0411581521333	1.25403748387644	3.77529763502098	1.15492425868848	5.26465608041801	3.07362151564028	18.8835988749039	4.2021091164536
DTHD1	3.45692287994112	5.93471059436695	1	1	18.7226741755741	2.88338854001866	1	1.46077454522074	4.2021091164536
DUSP19	2.14739954656521	1.48021264311009	1	1	1.15492425868848	1.06217133082778	1	9.44766322475881	4.2021091164536
DUSP2	524.959432636049	113.999489336467	331.30571182398	99.4097825117702	267.40826343677	54.5942853682331	299.742312983326	272.376749718157	4.2021091164536
DUSP4	1.05979217346883	1.0411581521333	8.99212109215028	2.13216443970963	3.30145725559885	1.06217133082778	1	1.46077454522074	4.2021091164536
DUSP5	9.84178584435189	15.3918383477176	16.3056395222247	14.4346076104869	8.24842486769924	69.0372912463722	12.3977725812138	12.7976052782077	4.2021091164536
DVL3	1.05979217346883	1.0411581521333	1.48065881725462	2.23304165654575	2.95665954256954	12.0415601920999	2.2183487245618	1.46077454522074	4.2021091164536
DYSF	1.05979217346883	1.0411581521333	1	9.92295247949109	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
DZIP3	8.70123252682421	36.1251090968881	10.9924855015094	2.63492717976458	5.60629794551152	2.03304754961707	3.61181873390548	1.46077454522074	4.2021091164536
E2F5	1.05979217346883	23.3991748392638	1	1	3.420678899044	1.06217133082778	1	7.55019132709307	4.2021091164536
EAF2	11.1016311232105	446.438585810285	12.1800723259351	54.2403094180665	10.3287287631109	88.6534001122896	11.6412052025209	84.8548539595353	4.2021091164536
EARS2	3.70556970941229	16.0380119354224	1.29841074367408	2.25222723487881	2.80825598209912	1.06217133082778	5.48275071625201	1.46077454522074	4.2021091164536
EBF1	7.73687250353445	22.5846913122473	1.27053163310187	1.25243286470369	1.15492425868848	1.06217133082778	1.22712051065294	1.46077454522074	4.2021091164536
ECHDC3	1.05979217346883	2.04836726699826	1.15038418266436	2.99632075221955	1.15492425868848	1.06217133082778	1	8.7067373984771	74.5280146193636
EDC4	9.15429403858875	6.69527461590747	2.87550217513923	2.25546030576481	2.54189224280894	1.06217133082778	1	1.46077454522074	4.2021091164536
EEPD1	8.03869014313368	1.39759190544803	32.0494155579785	9.91057196815292	3.88739904913647	5.61672728391035	15.4773326054853	1.46077454522074	4.2021091164536
EFNB1	4.04994275790968	1.0411581521333	2.88177444869059	7.25511615407294	9.86442731289959	4.07681149380658	1	7.55019132709307	114.185726593825
EGFL7	1.05979217346883	1.0411581521333	1	1.27230886636645	1.15492425868848	6.58507325897662	5.85488638677597	1.46077454522074	176.735909650825
EGLN3	2.18414037239633	1.0411581521333	6.03934399208753	1	4.01026381602116	1.06217133082778	3.26716171734634	1.46077454522074	82.4342326888242
EHD3	5.42536817257978	6.06285232753873	1	1.28695360034819	2.86511886335076	1.06217133082778	1	9.11910206106549	89.6956927756721
EID2	1.05979217346883	6.6506827430683	2.12047428411138	6.57485551616968	11.8307136579087	74.8440271565918	4.20023567327276	9.44766322475881	4.2021091164536
ELANE	1.05979217346883	1.0411581521333	1	11.0712635897169	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
ELL	41.7830641443828	15.0017775654288	11.5021499078346	33.4487393670465	1.15492425868848	8.24842486769924	3.27031326390646	1.46077454522074	4.2021091164536
ELOVL4	11.330980405584	1.0411581521333	6.41382738337437	2.20165056886549	1.15492425868848	1.06217133082778	5.34635736911927	1.46077454522074	4.2021091164536
ELOVL6	3.30680660954934	1.0411581521333	2.20737964988817	1	11.4962244617736	1.06217133082778	2.65310857194827	1.46077454522074	4.2021091164536
EML6	1.05979217346883	11.373010851966	1	1.28341983201019	1.15492425868848	1.06217133082778	1.22754243345655	1.46077454522074	142.411085058351
EMR1	1.05979217346883	3.28980361283026	8.74848287185241	12.6571045573759	3.09248487598066	61.988864182126	3.16662956435922	8.0475940196438	4.2021091164536
EMR2	3.11210356850689	5.85338837274669	7.11812170720609	54.1905344050851	1.15492425868848	129.652822848989	2.01982614754653	21.7675974918416	4.2021091164536
ENDOD1	9.73070844349354	11.3474999598507	4.1652717320139	5.39195055155895	6.17187184664605	10.3947584512155	1.47171197692953	7.87805132662793	178.383725603709
ENHO	1.05979217346883	1.0411581521333	1.99101156408698	5.95400227288371	1.15492425868848	17.7662906060512	1.66578556478062	234.724249604986	4.2021091164536
ENKUR	1.05979217346883	1.0411581521333	1.3000111032464	1	1.15492425868848	4.17237148909439	1	1.46077454522074	222.528514003816
ENO2	16.8889987694548	7.36209897093808	14.4019571736394	2.06881440262333	1.15492425868848	9.55660772571146	17.0375810914591	1.46077454522074	198.140582900605
ENPP4	5.95008015976849	2.63903016640259	3.17856475242397	2.98337697719332	31.9769388989628	1.06217133082778	7.19868929192811	1.46077454522074	4.2021091164536
ENPP5	10.2432289057528	2.20737964988817	1.14963757829672	1	14.9330653489461	2.24238004873026	2.60104440905808	1.46077454522074	4.2021091164536
ENTPD1	6.46451173123534	32.4995151163617	3.92882711152962	100.332254737377	8.61400365692999	34.8698171053504	13.2378054740768	33.6147347044581	4.2021091164536
EOGT	8.05507040170541	2.05348591322668	2.91450312329868	2.16627020588726	1.15492425868848	2.88338854001866	6.17556037382418	1.46077454522074	227.289715428276
EOMES	72.7737665802892	3.63064670971113	6.7201268941634	1.24625108033473	65.9221944263881	7.1824381786538	7.63587025049326	1.46077454522074	4.2021091164536
EPB41L3	1.05979217346883	2.1087858633386	1.69882583835165	38.3663844543837	2.93054304814847	34.3653866741285	2.17419581271706	6.70892065913494	51.7744360835386
EPHA1	3.03910641106724	1.0411581521333	5.36873313829198	1.26414324817839	1.15492425868848	3.13622168097115	10.9949761107377	1.46077454522074	4.2021091164536
EPHA1.AS1	2.05154805002219	1.0411581521333	7.61443600094905	13.5071875269739	1.15492425868848	7.89605077659091	16.1893252100857	1.46077454522074	4.2021091164536
EPHB6	2.54881273184446	6.83852015996426	14.1635270370989	6.07472608704581	1.15492425868848	9.22446646032198	19.5941975319334	1.46077454522074	4.2021091164536
EPHX2	11.5084981065313	1.0411581521333	64.7462249531865	4.11927836149026	3.03932176763996	2.12242191861582	98.7715608338187	1.46077454522074	4.2021091164536
EPHX3	1.05979217346883	1.0411581521333	1.2612114737856	1.96090467344214	1.15492425868848	10.8593171349511	1	1.46077454522074	4.2021091164536
EPS8	2.77909773605344	1.47734906557562	1.90132306816229	3.64735549169083	1.15492425868848	16.8067534170872	1	11.2718142859931	4.2021091164536
EPS8L2	14.7167643825872	3.72462631580479	33.3189558215006	2.19573010848249	19.6628840810185	1.06217133082778	22.3834489823273	9.11910206106549	4.2021091164536
ERBB2	7.05378223965499	1.0411581521333	1	1	23.6689972247151	3.73610009255546	1.22671755802135	1.46077454522074	4.2021091164536
EREG	7.45520039695733	1.99903076074461	1.065811146739	60.2927488655017	1.15492425868848	3.46535319257339	1.13549857980408	36.1116626652071	4.2021091164536
ESAM	1.87427887130116	1.0411581521333	1	1.48671086398338	1.15492425868848	2.03304754961707	3.17562350689557	1.46077454522074	433.209336349006
ETS1	107.321414659358	34.4005662136791	130.988091266668	3.08549720400344	114.968985912997	9.6842642037127	116.028406442604	1.46077454522074	4.2021091164536
EXOC3L1	1.05979217346883	1.0411581521333	1	19.0819419777692	1.15492425868848	17.4031907221243	1.27135301380419	7.87805132662793	4.2021091164536
EYA3	6.6999594258979	7.01557214577913	5.74684130112999	6.94557269400203	1.15492425868848	7.06158517612908	6.91904422179981	7.55019132709307	165.776236503509
F13A1	1.05979217346883	5.60712130787662	3.35055404346333	12.7294077772676	1.15492425868848	3.2674314542666	6.97526552522921	13.191035229296	1353.19904408735
F2R	15.7790947861594	5.42935315008899	3.29875423421725	1	56.5371899661755	1.06217133082778	2.19443962594236	1.46077454522074	95.0445379762819
FABP5	13.3309271661812	16.5217006748684	15.922172777223	14.0933949396912	7.24974049724624	22.8703262275301	18.4415379658025	124.120462600257	4.2021091164536
FADS3	3.04760333737986	36.173139909629	3.03726189803704	6.05698529604235	1.15492425868848	3.81511900329647	1.14984022846454	14.4366999396679	36.1650593920758
FAH	2.84885565619899	1.0411581521333	6.21350894070909	13.1368119115362	13.9769589651088	8.06803543604052	5.37044640105137	7.87805132662793	316.355394271249
FAIM3	159.478174234619	529.473581246602	175.20190102804	21.1048704690884	101.167817936442	35.4228278556505	266.951534054907	58.1478886122422	4.2021091164536
FAM102A	35.6520889463663	19.1022580571069	98.4908400129467	12.1516257118746	5.71895708955289	8.78398280210921	85.7709538408932	16.3854386110294	4.2021091164536
FAM109B	1.05979217346883	1.0411581521333	1	1.2734617890103	14.7540963304249	5.39067806036514	2.03022429481071	7.39256041158308	4.2021091164536
FAM110A	33.4417272191595	12.4198577702595	18.4781542686478	58.5322311629208	20.156718724811	244.556195509742	19.6678290578251	57.9920641928311	252.482840522656
FAM111B	1.87427887130116	11.4119168395562	1	1	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
FAM129C	1.87427887130116	100.949406279707	1.65845612277925	1.24927308743011	1.15492425868848	6.10050908684871	1	11.3881127481466	4.2021091164536
FAM134B	20.8314209671327	8.32523367724684	39.145076788569	3.73860071969134	1.15492425868848	8.9817715152461	41.6194930893631	1.46077454522074	4.2021091164536
