NAME	Myofibroblast	CAF	Skeletal muscle	Myocyte	Endothelial	Mast	CD4+ T conv	CD8+ T eff	Dendritic	B cell	Treg	CD8+ T exh	Macrophage	Plasma cell
CSF1R	16.2203502199094	1.49329332342878	1.66334473202558	11.0155552242057	1.10288598775653	1.72803913670877	1.10208796398197	1.57387944806949	1.00505423613815	7.7008536170208	2.22168134637196	2.2688450624482	440.055050328093	1.0133865721436
CSF2	1	6.11781245052776	1	1.02957389030577	1	16.1835258065122	13.254776456322	1	1.00505423613815	1.01295334491398	3.31774076577601	13.2281454578314	1	1.0133865721436
CSF2RB	1.06285708546661	1.45171193877988	1	9.33199696370995	110.383725219299	189.537058994993	6.01826208088255	1.70570289484798	175.829351294001	1.01295334491398	42.8546750157659	1.64414360927982	121.926024409001	33.9432204196051
CSF3	1	5.51459836188461	312.536174242293	22.1576295524283	66.6154752550139	9.43925897443352	1.21742518982488	1	2.32690860139143	1.01295334491398	1	1	10.7847585232045	1.0133865721436
CSF3R	1	1.17996167977339	1	1.02957389030577	1	1.00111362007435	1.23472230537685	1.61074281708235	1.00505423613815	22.4355699233521	1	1.50027560167272	98.6760788338015	1.0133865721436
CSN1S2BP	1	1	1	1.02957389030577	1	1.00111362007435	1	1	1.00505423613815	14.2531655204507	1	1	1	1.0133865721436
CSPG4	172.410660878227	28.4227499749584	27.4207885800826	154.506843724262	1.34673934265326	1.49088403298819	1.53003694442166	1	1.7859423372605	2.79694690120482	1.95008302958822	1.18202344340762	5.49547937639609	4.82267645426619
CSRP2	561.353537086478	77.2677809724392	166.769255249686	32.353452358707	144.139506355399	8.79327432160497	1.18148186864354	1	31.3052201704352	1.01295334491398	2.44193417246208	1.74616421383606	16.5495051479494	1.0133865721436
CSRP3	1.0804254955699	1.04799630091513	2.1952345956677	764.279455962494	1	1.00111362007435	1	1	1.00505423613815	1.01295334491398	1	1	1	1.0133865721436
CST6	1.7840351823101	1.05696781945695	1	1.02957389030577	1	2.44010373088463	1	1	1.00505423613815	1.01295334491398	1	1	42.6224696026429	1.0133865721436
CST7	1	1.46800358645951	1	1.02957389030577	1.09558447260724	176.689114624624	215.999012615077	686.798034744597	282.305290437021	1.01295334491398	299.775568764856	526.843834527043	141.146000736634	22.1399850384994
CSTA	1.05301837564809	3.91879090735916	1	1.02957389030577	1.07721280107432	11.607347206933	1	1	111.335731823658	1.01295334491398	3.72349203380893	1.46699717281135	67.7706920849316	1.0133865721436
CTAGE4	1.35210814583226	1.84551302629681	1	1.02957389030577	3.95695439788482	1.00111362007435	11.389402730036	2.43300089446607	1.00505423613815	1.01295334491398	1	5.42203408865027	1	1.0133865721436
CTGF	326.678139608377	748.008151826663	533.74136718485	47.0135479317178	446.823436058934	10.2227116472057	4.01498799684974	2.61885864367063	4.56540707467559	9.48184809925396	2.04305786210219	1.73261217194169	11.3974270783074	22.0489696783491
CTHRC1	33.4916323381108	385.593710215081	48.6119289684992	1.02957389030577	278.448203229126	2.02861865713204	5.48116591909036	3.79852570789284	7.90632426396627	10.3135377354846	2.86286407553533	10.1459649819115	6.29330954789478	15.5415642645623
CTLA4	1.02884323045037	1.00443672772425	1	1.02957389030577	1.47687453734015	2.00447618581324	329.688318796518	58.9667599930237	35.649678176542	37.7977099835927	465.779199480037	525.653246300603	38.3149546242662	4.86052927652055
CTNNA3	15.7794034144172	1.12906907349383	1	53.3782820576538	1.38198062913416	1.00111362007435	1.15175298057557	1	1.00505423613815	1.01295334491398	1	1	1	1.0133865721436
CTSE	1	1.00189619427842	1	1.02957389030577	1	1.00111362007435	1	1	1.00505423613815	17.2391111838098	1.37811109950357	1	1	1.0133865721436
CTSG	1.11407720997028	1	1	13.2902144942284	1.27073196433676	837.396105386199	3.3137844792884	1	4.77591129708331	47.3382102079111	1.55222977074847	1.56116703808359	5.59158924750458	4.76657197875078
CTSH	10.8082186915724	95.874334213129	6.65030304751824	9.08334703727488	322.555362065031	28.5578611019928	57.276435670238	3.8598354849081	624.863292112173	376.603343104392	43.2314753821956	36.1050190818664	598.257019297796	156.847608942646
CTSK	84.3905305050245	627.658087957385	8.07179546884205	6.31355143058315	33.005695309743	11.9763298208124	28.6978509280323	31.1962228905159	17.9494868246937	11.5917188806193	25.6334386900323	21.2932068602642	67.2952936838429	18.4983749151219
CTSW	1.19575053092249	1.7597653045256	1	1.02957389030577	1	267.376452268252	130.307549185437	402.300932923635	38.2709556008641	1.01295334491398	14.7230790592017	647.677037720551	11.33771210356	18.0085256417154
CTTNBP2	25.9468699786792	8.15594202585109	1	1.02957389030577	6.05718825393896	178.451386503399	1.16624429718412	1	10.5364334980838	1.01295334491398	1	1	6.0977232052524	1.0133865721436
CX3CL1	98.0928752324778	15.6001864577106	1	1.02957389030577	57.4427306572571	2.6733308605651	1	1	1.00505423613815	1.01295334491398	1	1	1	3.11370816694442
CX3CR1	6.02339283162889	1.00614785376351	10.0234685685484	1.02957389030577	1	1.51913376417504	1.09023276930573	1	1.00505423613815	1.01295334491398	57.6084009168393	1	61.3518307060798	1.0133865721436
CXCL1	3.31021395553953	115.225876891096	260.18691254162	1.02957389030577	22.9860485396018	2.35531978049563	1.71581881860818	1.80684978846027	4.84680972412494	1.01295334491398	1.40196342534614	1.83707935448031	93.5439860328277	5.60100117572763
CXCL10	1.66951801177157	16.8135032129291	2.22837497658051	1.02957389030577	5.24068137056072	1.00111362007435	1	3.50526690236925	88.456938483984	5.36992318600209	4.04448509897074	1	117.815049203678	1.0133865721436
CXCL12	318.230642764658	443.414431974494	52.469676427471	5.74720044527649	78.5629603925379	4.46892995476316	1.5900998106019	2.18753284747489	1.00505423613815	1.01295334491398	1.65744041034568	1.18796858485875	21.1931714689478	1.0133865721436
CXCL13	1.10176915348499	34.6816764354617	1	1.02957389030577	1	1.56065654054653	246.526749788802	13.9489342295815	2.20284591590515	32.4382268041989	16.9819361328987	573.388527005278	1	3.87020510925867
